timestamp_sent,field,channel,reading
1668546475.249757,A,Z,-0.93231201171875
1668546475.250757,A,X,-0.02105712890625
1668546475.250757,A,Y,0.01861572265625
1668546475.250757,A,Z,-0.93109130859375
1668546475.251757,A,X,-0.0299072265625
1668546475.251757,A,Y,0.0286865234375
1668546475.251757,A,Z,-0.9197998046875
1668546475.247514,B,X,0.02044677734375
1668546475.247514,B,Y,0.03875732421875
1668546475.247514,B,Z,-0.86761474609375
1668546475.248512,B,X,0.0201416015625
1668546475.248512,B,Y,0.0341796875
1668546475.248512,B,Z,-0.87646484375
1668546475.24951,B,X,0.01800537109375
1668546475.24951,B,Y,0.02655029296875
1668546475.24951,B,Z,-0.88531494140625
1668546475.250508,B,X,0.01434326171875
1668546475.250508,B,Y,0.02655029296875
1668546475.250508,B,Z,-0.8929443359375
1668546475.251506,B,X,0.00579833984375
1668546475.251506,B,Y,0.03082275390625
1668546475.251506,B,Z,-0.887451171875
1668546475.252504,B,X,-0.0006103515625
1668546475.252504,B,Y,0.03997802734375
1668546475.252504,B,Z,-0.8734130859375
1668546475.253502,B,X,-0.00579833984375
1668546475.253502,B,Y,0.04669189453125
1668546475.253502,B,Z,-0.8734130859375
1668546475.249255,D,X,-0.0115966796875
1668546475.249255,D,Y,0.001220703125
1668546475.249255,D,Z,-0.89324951171875
1668546475.250247,D,X,-0.013427734375
1668546475.250247,D,Y,0.00457763671875
1668546475.250247,D,Z,-0.90240478515625
1668546475.251239,D,X,-0.01251220703125
1668546475.251239,D,Y,0.00885009765625
1668546475.251239,D,Z,-0.92010498046875
1668546475.252231,D,X,-0.00946044921875
1668546475.252231,D,Y,0.0177001953125
1668546475.252231,D,Z,-0.94268798828125
1668546475.253223,D,X,-0.00457763671875
1668546475.253223,D,Y,0.025634765625
1668546475.253223,D,Z,-0.95489501953125
1668546475.254215,D,X,-0.00701904296875
1668546475.254215,D,Y,0.02899169921875
1668546475.254215,D,Z,-0.96649169921875
1668546475.255207,D,X,-0.00579833984375
1668546475.255207,D,Y,0.02197265625
1668546475.255207,D,Z,-0.97808837890625
1668546475.252759,A,X,-0.0390625
1668546475.252759,A,Y,0.03204345703125
1668546475.252759,A,Z,-0.91705322265625
1668546475.253759,A,X,-0.04791259765625
1668546475.253759,A,Y,0.040283203125
1668546475.253759,A,Z,-0.92376708984375
1668546475.254759,A,X,-0.048828125
1668546475.254759,A,Y,0.03997802734375
1668546475.254759,A,Z,-0.92437744140625
1668546475.255759,A,X,-0.0469970703125
1668546475.255759,A,Y,0.0433349609375
1668546475.255759,A,Z,-0.921630859375
1668546475.256759,A,X,-0.037841796875
1668546475.256759,A,Y,0.0421142578125
1668546475.256759,A,Z,-0.9234619140625
1668546475.257759,A,X,-0.03387451171875
1668546475.257759,A,Y,0.03570556640625
1668546475.257759,A,Z,-0.93017578125
1668546475.258759,A,X,-0.02838134765625
1668546475.258759,A,Y,0.0335693359375
1668546475.258759,A,Z,-0.93170166015625
1668546475.254503,B,X,-0.0042724609375
1668546475.254503,B,Y,0.04638671875
1668546475.254503,B,Z,-0.894775390625
1668546475.255501,B,X,0.0018310546875
1668546475.255501,B,Y,0.04730224609375
1668546475.255501,B,Z,-0.9124755859375
1668546475.256499,B,X,0.00213623046875
1668546475.256499,B,Y,0.04852294921875
1668546475.256499,B,Z,-0.9088134765625
1668546475.257497,B,X,0.00518798828125
1668546475.257497,B,Y,0.04730224609375
1668546475.257497,B,Z,-0.8990478515625
1668546475.258495,B,X,0.00946044921875
1668546475.258495,B,Y,0.04180908203125
1668546475.258495,B,Z,-0.88134765625
1668546475.259493,B,X,0.01129150390625
1668546475.259493,B,Y,0.04058837890625
1668546475.259493,B,Z,-0.86273193359375
1668546475.260491,B,X,0.018310546875
1668546475.260491,B,Y,0.03997802734375
1668546475.260491,B,Z,-0.87066650390625
1668546475.256201,D,X,-0.003662109375
