timestamp_sent,field,channel,reading
1668546462.612003,B,X,-0.01434326171875
1668546462.612003,B,Y,0.020751953125
1668546462.612003,B,Z,-0.88653564453125
1668546462.613001,B,X,-0.00396728515625
1668546462.613001,B,Y,0.0262451171875
1668546462.613001,B,Z,-0.89324951171875
1668546462.613999,B,X,0.0091552734375
1668546462.613999,B,Y,0.045166015625
1668546462.613999,B,Z,-0.89630126953125
1668546462.614997,B,X,0.03204345703125
1668546462.614997,B,Y,0.06622314453125
1668546462.614997,B,Z,-0.89324951171875
1668546462.615995,B,X,0.04730224609375
1668546462.615995,B,Y,0.07781982421875
1668546462.615995,B,Z,-0.87005615234375
1668546462.616993,B,X,0.0567626953125
1668546462.616993,B,Y,0.08453369140625
1668546462.616993,B,Z,-0.86456298828125
1668546462.617991,B,X,0.06011962890625
1668546462.617991,B,Y,0.0909423828125
1668546462.617991,B,Z,-0.86456298828125
1668546462.613376,D,X,0.00701904296875
1668546462.613376,D,Y,0.01800537109375
1668546462.613376,D,Z,-0.9100341796875
1668546462.614369,D,X,0.0201416015625
1668546462.614369,D,Y,0.0006103515625
1668546462.614369,D,Z,-0.87249755859375
1668546462.615362,D,X,0.0250244140625
1668546462.615362,D,Y,-0.01495361328125
1668546462.615362,D,Z,-0.82916259765625
1668546462.616355,D,X,0.0286865234375
1668546462.616355,D,Y,-0.02716064453125
1668546462.616355,D,Z,-0.80963134765625
1668546462.617348,D,X,0.03448486328125
1668546462.617348,D,Y,-0.03448486328125
1668546462.617348,D,Z,-0.81298828125
1668546462.618341,D,X,0.0286865234375
1668546462.618341,D,Y,-0.037841796875
1668546462.618341,D,Z,-0.810546875
1668546462.619334,D,X,0.0262451171875
1668546462.619334,D,Y,-0.0347900390625
1668546462.619334,D,Z,-0.8172607421875
1668546462.617758,A,X,0.0103759765625
1668546462.617758,A,Y,0.0799560546875
1668546462.617758,A,Z,-0.99090576171875
1668546462.618758,A,X,0.00732421875
1668546462.618758,A,Y,0.07843017578125
1668546462.618758,A,Z,-0.987548828125
1668546462.619758,A,X,0.00579833984375
1668546462.619758,A,Y,0.06744384765625
1668546462.619758,A,Z,-0.9869384765625
1668546462.620758,A,X,0.00244140625
1668546462.620758,A,Y,0.0543212890625
1668546462.620758,A,Z,-0.9893798828125
1668546462.621758,A,X,-0.00946044921875
1668546462.621758,A,Y,0.0439453125
1668546462.621758,A,Z,-0.97686767578125
1668546462.622758,A,X,-0.02105712890625
1668546462.622758,A,Y,0.03692626953125
1668546462.622758,A,Z,-0.94818115234375
1668546462.623758,A,X,-0.028076171875
1668546462.623758,A,Y,0.02685546875
1668546462.623758,A,Z,-0.93536376953125
1668546462.618985,B,X,0.05767822265625
1668546462.618985,B,Y,0.08880615234375
1668546462.618985,B,Z,-0.86212158203125
1668546462.619983,B,X,0.04974365234375
1668546462.619983,B,Y,0.0775146484375
1668546462.619983,B,Z,-0.86761474609375
1668546462.620981,B,X,0.04119873046875
1668546462.620981,B,Y,0.06591796875
1668546462.620981,B,Z,-0.8837890625
1668546462.621979,B,X,0.02655029296875
1668546462.621979,B,Y,0.050048828125
1668546462.621979,B,Z,-0.88775634765625
1668546462.622977,B,X,0.01495361328125
1668546462.622977,B,Y,0.0482177734375
1668546462.622977,B,Z,-0.88592529296875
1668546462.623975,B,X,0.0030517578125
1668546462.623975,B,Y,0.03631591796875
1668546462.623975,B,Z,-0.88714599609375
1668546462.624973,B,X,-0.008544921875
1668546462.624973,B,Y,0.02685546875
1668546462.624973,B,Z,-0.8978271484375
1668546462.62033,D,X,0.01953125
1668546462.62033,D,Y,-0.02685546875
1668546462.62033,D,Z,-0.8258056640625
1668546462.621322,D,X,0.01495361328125
1668546462.621322,D,Y,-0.0140380859375
1668546462.621322,D,Z,-0.86212158203125
1668546462.622314,D,X,0.0048828125
1668546462.622314,D,Y,-0.00579833984375
1668546462.622314,D,Z,-0.88958740234375
1668546462.623306,D,X,0.00030517578125
1668546462.623306,D,Y,0.009765625
1668546462.623306,D,Z,-0.914306640625
1668546462.624298,D,X,-0.00579833984375
1668546462.624298,D,Y,0.02105712890625
1668546462.624298,D,Z,-0.93231201171875
1668546462.62529,D,X,-0.013427734375
1668546462.62529,D,Y,0.03021240234375
1668546462.62529,D,Z,-0.95916748046875
1668546462.626282,D,X,-0.0152587890625
1668546462.626282,D,Y,0.0341796875
1668546462.626282,D,Z,-0.97259521484375
1668546462.627274,D,X,-0.01617431640625
1668546462.627274,D,Y,0.040283203125
1668546462.627274,D,Z,-0.97808837890625
1668546462.624759,A,X,-0.04119873046875
1668546462.624759,A,Y,0.015869140625
1668546462.624759,A,Z,-0.93353271484375
1668546462.625759,A,X,-0.04638671875
1668546462.625759,A,Y,0.010986328125
